,neuroid_id,parc_lang,parc_glasser,parc_name_glasser,tstat_langloc_SN,top10_tstat_langloc_SN_parc_lang_int,ncsnr,nc,corr_SentPC1,corr_SentPC2
21158,21158,5,137,PHT,10.757063167423713,5,0.5148503670043606,44.29629428735692,0.505646077903276,-0.062949500946864
21172,21172,5,139,TPOJ1,9.259454824735643,5,0.559297362537092,48.41214169351656,0.5687483751426343,0.2926246354612602
21173,21173,5,139,TPOJ1,8.769020160535911,5,0.5724381373093024,49.57278728857766,0.5103948811712138,0.305652485819929
21174,21174,5,139,TPOJ1,11.364946009650874,5,0.6080374877531887,52.587057785022274,0.5183687885102554,0.3587297224378573
21175,21175,5,129,STSdp,12.615415027966838,5,0.7776488236896498,64.46608796337576,0.3970500417564602,0.6277549676649599
21177,21177,5,129,STSdp,15.899234762571703,5,0.6498030842512725,55.88362735108908,0.4335493128290085,0.6563375935652352
21178,21178,5,129,STSdp,16.369067306798268,5,0.6241113723682208,53.88613134992277,0.3217834930137131,0.6913889765325429
21179,21179,5,129,STSdp,16.61680339988879,5,0.5940592531646426,51.426109717408686,0.273664045348111,0.6960148143242347
21180,21180,5,129,STSdp,10.947771710856788,5,0.6177219542840339,53.374328702714,0.2209662827591618,0.5456956713593653
21181,21181,5,129,STSdp,14.748139392706436,5,0.6306636907326179,54.40473247078861,0.2392119070410357,0.6002668519766088
21182,21182,5,129,STSdp,11.74588377772479,5,0.642624979247052,55.33522106175091,0.1340189862292946,0.5825598103032449
21184,21184,5,129,STSdp,12.837588856967304,5,0.5259379786212495,45.350182349254105,0.1171726857872379,0.6167081296585915
21185,21185,5,129,STSdp,14.254666330665192,5,0.5398855475552015,46.65042601430559,0.1653598417803113,0.5588766715072913
21186,21186,5,129,STSdp,14.374892465603152,5,0.5711984671901454,49.46440013170235,0.1471311090068744,0.5701803695304491
21187,21187,5,129,STSdp,9.393275186088736,5,0.4785640280402742,40.725657371849614,0.2481905086511155,0.5119668752053791
21188,21188,5,129,STSdp,8.4141529412505,5,0.5425892555946789,46.89915775462983,0.1119679072631891,0.5636460909286912
22253,22253,4,125,A5,5.382833112547195,4,0.5746801103381586,49.76822273487231,0.2937005180958549,0.5875806217539068
22254,22254,4,125,A5,5.017451341717881,4,0.56321169099882,48.76057536375249,0.1906363412782782,0.55976273316234
22314,22314,4,123,STGa,5.847001479464535,4,0.4235402604010727,34.987217625708006,0.3014763846187925,0.6186156215395571
22315,22315,4,123,STGa,7.275832433275872,4,0.4424423127539956,36.998571645322144,0.1407880172193877,0.624668941866258
23966,23966,2,74,44,6.324544022252509,2,0.43500062664655,36.211334829902064,0.4200466852614688,0.4983946625712253
23980,23980,1,75,45,7.772697675123212,1,0.4680615454183449,39.65888555778453,0.2588370297006228,0.5299675747325698
23981,23981,1,75,45,8.196902556185616,1,0.4410546697186958,36.852248721356666,0.2634555448562667,0.568527395675997
23982,23982,1,75,45,7.406208527347519,1,0.4805387149739538,40.92461379109062,0.2392582002178434,0.5877977389667646
23983,23983,1,75,45,9.240216778896505,1,0.4878607130630215,41.65776744568608,0.2030959247346242,0.6459950532642529
23984,23984,1,75,45,11.139176449609865,1,0.4695174135970924,39.80761810541523,0.2420994013246994,0.6559748551395865
24102,24102,5,139,TPOJ1,9.359039699949331,5,0.5158479699098488,44.391844819604216,0.4442690467336972,0.2039522435523512
24103,24103,5,139,TPOJ1,9.565628995823763,5,0.5602435438572431,48.49657604877571,0.4577453826940921,0.3078227990658319
24104,24104,5,139,TPOJ1,13.762043881014993,5,0.5005129415698873,42.90737177817686,0.4449543820499035,0.402608726515439
24105,24105,5,139,TPOJ1,15.546672862218708,5,0.5328009996214663,45.99355089657848,0.48616923702994,0.3434963029270822
25180,25180,5,139,TPOJ1,8.485953595507665,5,0.440517156640389,36.79551074936126,0.2775023313069891,-0.2531993843937447
25192,25192,5,139,TPOJ1,8.679146670666679,5,0.4121035939555004,33.75237677592827,0.3542894694024434,0.3941058142277736
25409,25409,4,125,A5,5.584541206872953,4,0.4437942517628177,37.14091803222114,0.2848687442952647,0.5275862924125221
25410,25410,4,123,STGa,6.670672683984768,4,0.4114543586531761,33.68190424063481,0.4609520129442634,0.3898474125730075
26407,26407,3,79,IFJa,8.699680569006807,3,0.5628536066462121,48.72879579967592,0.5628112114787772,0.279708860364258
26408,26408,3,79,IFJa,8.95130624851626,3,0.5110302720594821,43.92908472790688,0.4705697833728098,0.202790172809671
26413,26413,3,56,6v,9.264945187877876,3,0.5979353005624245,51.750954739849206,0.5929242010280984,0.3534648654001799
26415,26415,3,11,PEF,11.136199495438142,3,0.5639684569733256,48.82767429197021,0.4775431705155198,0.5145960446424828
26437,26437,3,73,8C,9.252048526934203,3,0.4746445131514754,40.32922425362319,0.2225027696801416,0.6440891366880093
26439,26439,3,73,8C,8.2298202578297,3,0.5491955272057176,47.50235032958528,0.1314649585062939,0.5981539708729671
27316,27316,1,75,45,7.141473888075791,1,0.401715338473518,32.620259808968484,0.454538569752152,0.3032472217207866
27318,27318,1,75,45,7.342119250879882,1,0.5425380440441259,46.89445652854764,0.5121414379759648,0.4655188971722759
27344,27344,4,125,A5,6.170539597592176,4,0.4691257630034621,39.76763357253069,0.1768187991667723,0.6603978539662196
27537,27537,5,25,PSL,9.626133932104098,5,0.5216129701404751,44.941205439854,0.5296882402874126,0.5115937687894209
27547,27547,5,28,STV,8.3443706158491,5,0.4897193379415194,41.84271665834565,0.5226781111634278,0.4106520485840858
27548,27548,5,28,STV,11.143742699578256,5,0.5334565754260294,46.054645939230696,0.658635800088249,0.1861937557318205
27673,27673,5,130,STSvp,8.836853991987775,5,0.4507154049690101,37.86632186902349,-0.0064650083778228,0.4809152222541647
27680,27680,5,139,TPOJ1,12.094086113942266,5,0.5557307488641422,48.09266485861074,0.4562069843968617,0.4321683379374118
27682,27682,5,129,STSdp,11.844858917338806,5,0.7198924656579783,60.85700436113529,0.3985401909522739,0.623091803813636
27683,27683,5,129,STSdp,15.746554116302027,5,0.8046379706910383,66.01329251245852,0.3750190769328146,0.7153808251739024
27685,27685,5,129,STSdp,9.459082851416056,5,0.4499188783321532,37.78312532464284,0.0625869385785819,0.5506462718578073
27686,27686,5,129,STSdp,8.58883119637213,5,0.4462504467996177,37.3989926410484,0.1252296437184845,0.4625704448755987
30297,30297,3,80,IFJp,9.106649893132666,3,0.5969797900160457,51.67108365802903,0.6856343848709852,0.1440513880778739
30299,30299,3,80,IFJp,9.94777859479045,3,0.623646021881235,53.8490595482352,0.7190547714085277,0.1540091776522462
30302,30302,3,79,IFJa,8.969816189708451,3,0.5392739869834403,46.594014562917465,0.624715660786065,0.3212709131663636
30304,30304,3,12,55b,10.956753124132296,3,0.7588144915179127,63.33502147906746,0.6145934911034439,0.341639777822078
30305,30305,3,12,55b,14.32114599528864,3,0.6909642854122668,58.88656481601513,0.6491536339431236,0.2137861819972668
30306,30306,3,12,55b,11.921995219989286,3,0.6466350491546041,55.642509256543896,0.645400039161623,0.18169748855508
30307,30307,3,12,55b,12.423135177981838,3,0.6059507163617545,52.4155940998594,0.6188008534892083,0.1601545322752043
30958,30958,2,74,44,6.128199088527992,2,0.4269367427679779,35.35144348719111,0.4728068339565317,0.4083106915732508
30959,30959,2,74,44,5.678107812299265,2,0.4588692583788898,38.71358549240158,0.5303180218068348,0.3289476767311327
30960,30960,2,74,44,5.146857148884993,2,0.4693131955667863,39.7867714675706,0.5529735954749736,0.2962156541695325
30961,30961,2,74,44,5.104911651227681,2,0.4490885627612936,37.69631934978149,0.5353992805476118,0.3126944807451622
30962,30962,2,74,44,5.378014957352649,2,0.4116839936256126,33.70683485173693,0.4982010812722266,0.2817651120680669
30999,30999,1,75,45,6.836057798137183,1,0.4053740477171733,33.02006171797415,0.2473818840555691,0.5082778343030081
31175,31175,5,25,PSL,8.567662879215204,5,0.4647918948415409,39.32386826304405,0.426658018179429,0.4758191489961915
31176,31176,5,25,PSL,10.164213875135156,5,0.4357742377931698,36.29346020933571,0.3561627283295242,0.663946110330695
31177,31177,5,25,PSL,9.158909169194574,5,0.5857531676229489,50.72241725098675,0.4073107177838856,0.6663804368067912
31184,31184,5,25,PSL,12.24459960446211,5,0.5961159372566404,51.59875675916964,0.607956864701356,0.3887472711867368
31278,31278,5,137,PHT,10.300009198640828,5,0.5934887718322461,51.37810890277266,0.5106250256357938,-0.1819101364713502
31279,31279,5,137,PHT,9.580666762662442,5,0.4600200696504579,38.83251056880242,0.4372897938105639,-0.168313468405916
31280,31280,5,137,PHT,10.114014536424069,5,0.4662079728594454,39.469130541843406,0.3868263427527112,-0.0242781712193516
31281,31281,5,137,PHT,12.02247807412215,5,0.4714617913133762,40.00583126540641,0.4443930738143865,0.3102841043904573
31282,31282,5,137,PHT,10.070158690527338,5,0.5497999563373576,47.557214417346685,0.383494852322748,0.0345290279556979
31283,31283,5,137,PHT,15.039928060363245,5,0.4562849153203237,38.44592349335936,0.5492991650409491,0.2238133136987648
31284,31284,5,130,STSvp,14.44389492731924,5,0.4120675780854212,33.74846837768056,0.5026552874680124,0.4187654601096477
31286,31286,5,130,STSvp,12.942229127769044,5,0.4179794246165367,34.3883855123549,0.2598039500236806,0.5373219048281188
31287,31287,5,130,STSvp,14.787834291925376,5,0.5022997972052973,43.08205845550661,0.1771462538694328,0.6178047715134176
31289,31289,5,129,STSdp,10.55230762662229,5,0.4292375124444209,35.59749055086518,0.3198636091264689,0.5748847326789509
31292,31292,5,129,STSdp,8.810654419094138,5,0.5483128093868119,47.42212826420424,0.2757773214624971,0.5320435314940117
33355,33355,2,81,IFSp,6.395385520792326,2,0.5114801185416591,43.97243508767444,0.2931871996906264,0.1211482004810109
33623,33623,5,150,PGi,8.628580684541037,5,0.4207303259010002,34.685006288285294,0.0644349462245905,0.1357992353339384
33640,33640,5,139,TPOJ1,10.792909438122548,5,0.4251399896851094,35.158913903083885,0.4273023285666685,0.1013928656022069
33641,33641,5,139,TPOJ1,11.015878420795431,5,0.5229716740869846,45.06997884917514,0.4497294476105098,0.248252639262188
34122,34122,4,128,STSda,6.076140159678099,4,0.5372913152824158,46.41074934048727,0.1795870925717929,0.5531575589922436
34123,34123,4,128,STSda,5.309369691638715,4,0.5455810540282233,47.173130111266175,0.1057623273816923,0.4985550252910379
34451,34451,3,12,55b,10.940621114385044,3,0.6358292927592627,54.80913642685692,0.658684136385763,0.2893900569215236
36184,36184,3,11,PEF,13.065860358059982,3,0.688752141227315,58.73120809696761,0.6383027208502465,0.2265825647359351
36185,36185,3,11,PEF,8.59526065588079,3,0.662764913429058,56.85511759988706,0.6238396583063589,0.2435756511593528
36229,36229,3,80,IFJp,11.428048989723422,3,0.4662102206958349,39.46936092401233,0.6377028933334425,0.2925911694702814
