neuroid,dataset,R,NC Normalized R,R Fischer,NC Normalized R Fischer,Noise Ceiling,Feature Intersection,Feature Union,Feature Mean,Feature Std,Alpha Mean,Alpha Median,Language T-Stat,PC1 Correlation,PC2 Correlation,Parcel Name,Participant,Featurizer,neuroid_id,top10_tstat_langloc_SN_parc_lang_int,fROI
120185,langfroi12345,0.4033908136781831,0.6733727352090442,0.4086573565413767,0.6821640766393267,0.5990602122507278,8,77,37.0,8.921883209278185,82.0,100.0,6.095605636518499,-0.0055844905128247,-0.1157252856041039,TPOJ1,p4,Matryoshka,120185,5,PostTemp
120186,langfroi12345,0.3754905642112504,0.6521427657657807,0.3789515581932027,0.658153734889413,0.5757796972114372,8,66,30.0,7.874007874011811,100.0,100.0,6.157975223127733,-0.0024697788875867,-0.1223701647169316,TPOJ1,p4,Matryoshka,120186,5,PostTemp
125965,langfroi12345,0.3685768309743575,0.6178566259134053,0.3767921185868235,0.6316281640530328,0.596541034790189,7,85,39.4,11.80847153530041,100.0,100.0,6.905635676194104,0.1626045198607034,0.4673095365839063,TPOJ2,p4,Matryoshka,125965,5,PostTemp
125966,langfroi12345,0.2913725742700387,0.5091266976239538,0.2989579766208373,0.5223809678952247,0.5722987531980684,5,55,22.6,13.573503600765722,80.002,100.0,7.729253257434784,0.1688296481959317,0.3976545551345564,TPOJ2,p4,Matryoshka,125966,5,PostTemp
126063,langfroi12345,0.2902131667521091,0.4957470488030766,0.2956085143615433,0.5049634730080073,0.5854057375687761,7,85,32.4,18.979989462589277,442.0,100.0,7.392291826566753,0.3198264611958032,0.0220885491392269,STSdp,p4,Matryoshka,126063,5,PostTemp
126064,langfroi12345,0.2568865856504986,0.3841786092743421,0.2597095446161086,0.3884003962808544,0.6686644686848137,3,56,22.0,11.31370849898476,100.0,100.0,8.184725984957495,0.2865280902216405,0.0271667732344567,STSdp,p4,Matryoshka,126064,5,PostTemp
130112,langfroi12345,0.2889903172493047,0.5072050912996189,0.2927601265547254,0.5138214599417855,0.5697701427026701,4,58,25.6,6.216108107168021,100.0,100.0,6.454409849668741,0.075076291239846,-0.0928364375516944,STV,p4,Matryoshka,130112,5,PostTemp
135329,langfroi12345,0.3358872766400568,0.5402824105699643,0.3531091777240073,0.5679842346024516,0.6216883431124782,4,10,5.6,1.8547236990991407,280.0,100.0,5.334852355711134,0.3598469115938368,-0.2802329300706311,TPOJ2,p4,Matryoshka,135329,5,PostTemp
142076,langfroi12345,0.1794752312334401,0.2818480484339198,0.1920332742013602,0.3015692092778576,0.6367801098169343,1,17,7.0,4.147288270665544,82.0,100.0,5.138099039402191,0.3811158298600178,0.0835094746254657,STSdp,p4,Matryoshka,142076,5,PostTemp
142077,langfroi12345,0.0533972200715263,0.0920660290594944,0.0551188626453195,0.0950344381829765,0.5799883042313064,1,9,3.4,3.006659275674582,262.0,100.0,5.287425194698185,0.3247152604960676,0.0891814013588227,STSdp,p4,Matryoshka,142077,5,PostTemp
156299,langfroi12345,0.1092105072510515,0.1914247341672404,0.1104781851330332,0.1936467264249102,0.5705140859991401,2,18,7.6,4.673328578219168,460.0,100.0,6.453877979291871,0.1919863646444336,-0.1054858327518637,STV,p4,Matryoshka,156299,5,PostTemp
157000,langfroi12345,0.1135583303899135,0.198850353638297,0.1161493850317602,0.2033875120313295,0.5710743195180473,1,3,2.0,0.8944271909999159,46.0,10.0,6.3391733261143015,0.3721667069060689,-0.002297675640512,TPOJ2,p4,Matryoshka,157000,5,PostTemp
157146,langfroi12345,0.1723664127109792,0.3004462325429105,0.1738986405481987,0.3031170085592443,0.573701361645004,2,20,9.8,5.075431016179809,2062.0,100.0,8.262015627934012,0.2923380203468892,0.2198224850066565,STSdp,p4,Matryoshka,157146,5,PostTemp
157147,langfroi12345,0.20977449990015,0.367143435076743,0.2136586908816123,0.3739414740190688,0.5713693337763249,4,27,12.8,4.955804677345546,280.0,100.0,6.549113333564264,0.2825194687899151,0.2814761720097976,STSdp,p4,Matryoshka,157147,5,PostTemp
157233,langfroi12345,0.2519421962244888,0.4175711244053211,0.2596922978862518,0.4304162083716225,0.6033515765327147,2,29,14.2,6.04648658313239,262.0,100.0,5.008773426726636,0.2094265008517908,-0.0584633815953129,STSdp,p4,Matryoshka,157233,5,PostTemp
157235,langfroi12345,0.2713935374607474,0.4110331211575749,0.2792963070509415,0.423002087260596,0.6602716995078971,1,51,18.6,15.173661390712526,64.0,100.0,5.653276998144262,0.3668164633331863,-0.1201952655477005,STSdp,p4,Matryoshka,157235,5,PostTemp
84742,langfroi12345,0.515216763637473,0.8411087504049483,0.5247175812571353,0.856619155733146,0.6125447671177171,5,11,7.8,0.7483314773547882,82.0,100.0,7.771415407192924,0.3022430301671188,0.6134734391135493,45,p2,Matryoshka,84742,1,IFGorb
110114,langfroi12345,0.524517518442201,0.8388870556487792,0.5341746524638916,0.8543321922564604,0.6252540373704409,6,26,14.4,2.0591260281974,622.0,1000.0,6.918287123885821,0.1204234863833084,0.6394480237924511,47l,p2,Matryoshka,110114,1,IFGorb
37991,langfroi12345,0.4782429253091426,0.8054258569427049,0.4821930696399011,0.8120784349826037,0.5937764738823913,5,9,7.0,1.095445115010332,64.0,100.0,9.318625614941922,0.3334698138755882,0.6266682353666961,45,p2,Matryoshka,37991,1,IFGorb
45724,langfroi12345,0.4479715080064159,0.7769806494136271,0.4512634069981122,0.782690257660265,0.5765542659839621,5,25,15.4,3.878143885933063,442.0,100.0,7.094354404250913,0.22956374642878,0.5302328435372006,45,p2,Matryoshka,45724,1,IFGorb
9249,langfroi12345,0.4517201055348955,0.7601955678959028,0.4628582915100038,0.7789399175693613,0.5942156526710396,5,9,6.4,1.0198039027185568,226.0,10.0,6.5982393397759,0.28568860086393,0.5009712177808693,45,p2,Matryoshka,9249,1,IFGorb
117400,langfroi12345,0.4620527581603788,0.7334905406658461,0.4842862044072893,0.7687852601983953,0.6299369010825113,6,17,8.4,4.317406628984581,262.0,100.0,8.00607724784225,0.2200232983163102,0.6244165313160566,45,p2,Matryoshka,117400,1,IFGorb
1164,langfroi12345,0.4305594921850172,0.7447532688943588,0.4327911099862722,0.7486133734387346,0.5781236688282209,11,44,21.8,6.144916598294887,100.0,100.0,11.028244835960546,0.3320964155473871,0.5424292071741315,45,p2,Matryoshka,1164,1,IFGorb
84740,langfroi12345,0.4740940459081427,0.7360269218730208,0.4771616370941658,0.7407893307615113,0.6441259576506814,6,28,13.2,4.261455150532503,64.0,100.0,6.599319135937278,0.3219032533925083,0.6166529849401479,45,p2,Matryoshka,84740,1,IFGorb
117395,langfroi12345,0.4141458011861477,0.7118993973532636,0.4286149585884465,0.7367712767865555,0.581747649634036,7,78,31.2,17.72455923288362,262.0,100.0,7.403634308052688,0.2383471483188357,0.5534498383330438,45,p2,Matryoshka,117395,1,IFGorb
45723,langfroi12345,0.425663845014043,0.7095963801996024,0.4361452901750314,0.7270693124972765,0.5998675541359273,4,54,21.6,13.979985693841035,460.0,100.0,7.822560866461022,0.2423939284963875,0.5491784368317247,45,p2,Matryoshka,45723,1,IFGorb
117404,langfroi12345,0.415254412621696,0.7107315511624742,0.4213054927291107,0.7210883190142567,0.5842633719334747,5,59,16.6,20.732583051805193,28.0,10.0,10.929919512909844,0.2687441622446991,0.6340185100169154,45,p2,Matryoshka,117404,1,IFGorb
117401,langfroi12345,0.4562854901436791,0.6986386039670354,0.4706121562167132,0.7205747869072702,0.6531066098448928,6,33,12.4,8.16333265278342,460.0,100.0,8.421989483485868,0.2336145828871079,0.6313840772397843,45,p2,Matryoshka,117401,1,IFGorb
23983,langfroi12345,0.4453326612065222,0.6899800795072035,0.4626540172109039,0.7168170749359611,0.6454282876175019,5,17,7.8,3.3105890714493698,280.0,100.0,9.240216778896505,0.2030959247346242,0.6459950532642529,45,p2,Matryoshka,23983,1,IFGorb
117399,langfroi12345,0.3905380451517246,0.6706154579173939,0.4128455410896001,0.7089209489933194,0.5823576545111951,4,40,14.4,10.49952379872535,244.0,100.0,8.867503253824,0.2776817881949258,0.633560990320282,45,p2,Matryoshka,117399,1,IFGorb
117394,langfroi12345,0.4273784832430996,0.6820694849030792,0.4411301549621653,0.7040162978890855,0.6265908279181106,4,37,15.6,8.593020423576334,280.0,100.0,8.472299359699702,0.267864234368979,0.5566619723990693,45,p2,Matryoshka,117394,1,IFGorb
117403,langfroi12345,0.4416653524703696,0.6865454620347884,0.4527509961263435,0.703777509563928,0.6433155222690696,5,32,11.4,9.830564581955608,262.0,100.0,10.843870629783392,0.2136094529937218,0.6705867123085625,45,p2,Matryoshka,117403,1,IFGorb
37993,langfroi12345,0.4099162937660601,0.6871324987928975,0.4152286957958734,0.6960375463278493,0.5965607717378674,3,9,6.2,1.469693845669907,262.0,100.0,8.195428968931843,0.3064505008381923,0.5071682488876105,45,p2,Matryoshka,37993,1,IFGorb
154943,langfroi12345,0.4029854384742366,0.6686672624685861,0.4171040655075049,0.6920940734320151,0.6026696102729702,4,6,5.2,0.7483314773547882,100.0,100.0,7.31358685066052,0.2841965475371591,0.4744775858827464,45,p2,Matryoshka,154943,1,IFGorb
15003,langfroi12345,0.3985257660631566,0.6738870358777329,0.4035742268190737,0.6824237292216984,0.5913836367902221,4,30,14.0,5.830951894845301,460.0,100.0,7.814796172509914,0.2331891753055637,0.5343828133804736,45,p2,Matryoshka,15003,1,IFGorb
117398,langfroi12345,0.4177198680194803,0.6460213289078192,0.4394181609168722,0.6795786506580751,0.6466038338481621,6,45,17.4,10.594338110519224,262.0,100.0,8.591883792624234,0.2590577646865989,0.6049003472987413,45,p2,Matryoshka,117398,1,IFGorb
45730,langfroi12345,0.4134972867860392,0.6579695605566523,0.4241015163406407,0.674843335749507,0.628444401647113,5,77,30.6,18.874321179846444,82.0,100.0,11.596081238958352,0.2406241997684141,0.6301146827848442,45,p2,Matryoshka,45730,1,IFGorb
10763,langfroi12345,0.3755816819426608,0.643674028585658,0.3910917915842677,0.6702553429489675,0.5834967161373976,5,41,14.2,10.4,64.0,100.0,9.671441701114563,0.3232189196829357,0.6427549091145233,45,p2,Matryoshka,10763,1,IFGorb
